Model,Strategy,Start_Token,Song-1_jacard_1,Song-1_jacard_2,Song-2_jacard_1,Song-2_jacard_2,Song-3_jacard_1,Song-3_jacard_2,Song-4_jacard_1,Song-4_jacard_2,Song-5_jacard_1,Song-5_jacard_2
model instrument tf 0.5,prob,first_word,0.1267,0.0346,0.1553,0.0361,0.1345,0.0374,0.1132,0.0303,0.1059,0.0272
model instrument tf 0.5,prob,SOS,0.14,0.0207,0.1359,0.0152,0.1206,0.0357,0.1346,0.0352,0.1081,0.0293
model instrument tf 0.5,prob,random,0.1218,0.0264,0.1367,0.0157,0.1239,0.0422,0.0935,0.0267,0.1509,0.0208
model instrument tf 0.5,argmax,first_word,0.1972,0.0204,0.1042,0.0167,0.0674,0.0229,0.1163,0.038,0.0972,0.016
model instrument tf 0.5,argmax,SOS,0.1605,0.0258,0.1327,0.0251,0.1064,0.0338,0.0795,0.0186,0.1412,0.0292
model instrument tf 0.5,argmax,random,0.2078,0.0452,0.1273,0.032,0.069,0.0118,0.1333,0.0294,0.1159,0.0236
model instrument tf 0.5,topk,first_word,0.1771,0.0385,0.1714,0.0299,0.117,0.0317,0.1413,0.0343,0.1205,0.0241
model instrument tf 0.5,topk,SOS,0.1828,0.0421,0.1402,0.031,0.1296,0.0428,0.2021,0.03,0.1087,0.0215
model instrument tf 0.5,topk,random,0.2065,0.0577,0.1552,0.0327,0.1346,0.0424,0.1458,0.0219,0.1047,0.0245
model instrument tf 0,prob,first_word,0.1646,0.0392,0.1789,0.0217,0.1714,0.0377,0.1359,0.031,0.1444,0.0196
model instrument tf 0,prob,SOS,0.1139,0.013,0.1571,0.0378,0.1827,0.0433,0.1619,0.0383,0.1266,0.0321
model instrument tf 0,prob,random,0.1098,0.0187,0.1364,0.0288,0.1402,0.0295,0.1415,0.0493,0.1383,0.0296
model instrument tf 0,argmax,first_word,0.1034,0.033,0.0632,0.0113,0.0581,0.006,0.0833,0.0336,0.0469,0.0093
model instrument tf 0,argmax,SOS,0.0847,0.0337,0.0312,0.0057,0.0617,0.0252,0.0588,0.0197,0.0484,0.0196
model instrument tf 0,argmax,random,0.0678,0.0222,0.0538,0.012,0.0706,0.0179,0.093,0.0253,0.0323,0.0096
model instrument tf 0,topk,first_word,0.125,0.0273,0.1089,0.027,0.1348,0.0354,0.1667,0.0408,0.0959,0.0197
model instrument tf 0,topk,SOS,0.1061,0.0336,0.099,0.0218,0.186,0.0513,0.1099,0.0314,0.1029,0.0226
model instrument tf 0,topk,random,0.125,0.0254,0.0962,0.0222,0.1136,0.0474,0.129,0.0309,0.1268,0.0265
model piano roll tf 1.0,prob,first_word,0.1067,0.0179,0.13,0.0269,0.0759,0.0191,0.1166,0.0218,0.0845,0.0177
model piano roll tf 1.0,prob,SOS,0.066,0.0085,0.0797,0.0172,0.0764,0.0037,0.0596,0.0124,0.0826,0.0174
model piano roll tf 1.0,prob,random,0.0455,0.0106,0.1058,0.0127,0.066,0.0106,0.1163,0.0136,0.1197,0.0159
model piano roll tf 1.0,argmax,first_word,0.1413,0.0258,0.2,0.0478,0.1984,0.0537,0.1215,0.0262,0.125,0.0182
model piano roll tf 1.0,argmax,SOS,0.0333,0.0119,0.0745,0.0435,0.1538,0.0343,0.101,0.0178,0.1314,0.008
model piano roll tf 1.0,argmax,random,0.1429,0.0341,0.051,0.0061,0.0889,0.0291,0.1204,0.0368,0.1304,0.0079
model piano roll tf 1.0,topk,first_word,0.1301,0.0446,0.1689,0.0662,0.1769,0.0565,0.176,0.0373,0.1053,0.0116
model piano roll tf 1.0,topk,SOS,0.1161,0.0158,0.1349,0.0442,0.1441,0.0417,0.0568,0.0068,0.1406,0.0178
model piano roll tf 1.0,topk,random,0.126,0.0226,0.1915,0.0405,0.1148,0.0346,0.1212,0.0114,0.1458,0.0127
model instrument tf 1.0,prob,first_word,0.1269,0.0314,0.127,0.0181,0.1126,0.0216,0.1355,0.0176,0.0941,0.0143
model instrument tf 1.0,prob,SOS,0.0959,0.027,0.1194,0.0407,0.0976,0.0314,0.1102,0.0202,0.0593,0.0159
model instrument tf 1.0,prob,random,0.0855,0.0123,0.1053,0.0164,0.0812,0.0215,0.0702,0.0159,0.0423,0.0091
model instrument tf 1.0,argmax,first_word,0.1724,0.0228,0.0938,0.0116,0.1188,0.0312,0.1261,0.0144,0.0896,0.0094
model instrument tf 1.0,argmax,SOS,0.0965,0.0105,0.07,0.0237,0.1443,0.0423,0.104,0.0188,0.1522,0.0364
model instrument tf 1.0,argmax,random,0.0758,0.0206,0.1465,0.0401,0.1721,0.0574,0.0714,0.0255,0.0949,0.016
model instrument tf 1.0,topk,first_word,0.1489,0.0245,0.0938,0.012,0.1538,0.0452,0.1078,0.0226,0.0909,0.0113
model instrument tf 1.0,topk,SOS,0.0984,0.0227,0.1346,0.0217,0.1475,0.0519,0.1111,0.0211,0.0333,0.0
model instrument tf 1.0,topk,random,0.1014,0.0097,0.1009,0.0262,0.05,0.0132,0.0916,0.0213,0.0959,0.025
model piano roll tf 0.5,prob,first_word,0.1231,0.0187,0.1667,0.0524,0.1545,0.0506,0.145,0.0403,0.1485,0.0266
model piano roll tf 0.5,prob,SOS,0.0857,0.0216,0.1382,0.0489,0.1321,0.0415,0.1389,0.0283,0.1188,0.0052
model piano roll tf 0.5,prob,random,0.1163,0.0232,0.082,0.0135,0.1351,0.038,0.1324,0.034,0.1207,0.0133
model piano roll tf 0.5,argmax,first_word,0.1304,0.0256,0.0978,0.0182,0.1059,0.0294,0.0581,0.0067,0.1205,0.0186
model piano roll tf 0.5,argmax,SOS,0.1667,0.036,0.086,0.0305,0.122,0.0359,0.069,0.0,0.0658,0.0138
model piano roll tf 0.5,argmax,random,0.1311,0.0202,0.0319,0.0121,0.0886,0.0261,0.0345,0.0066,0.0843,0.0189
model piano roll tf 0.5,topk,first_word,0.141,0.034,0.1842,0.0608,0.1529,0.0517,0.0989,0.012,0.1538,0.0316
model piano roll tf 0.5,topk,SOS,0.1176,0.0309,0.1553,0.0591,0.1765,0.0649,0.1413,0.0335,0.1176,0.0114
model piano roll tf 0.5,topk,random,0.1579,0.0194,0.0792,0.038,0.1087,0.0421,0.14,0.0209,0.1263,0.026
model piano roll tf 0,prob,first_word,0.1429,0.0175,0.2075,0.044,0.1667,0.0352,0.1261,0.0297,0.0957,0.0216
model piano roll tf 0,prob,SOS,0.15,0.0116,0.1636,0.0283,0.0901,0.0126,0.1635,0.028,0.0957,0.0052
model piano roll tf 0,prob,random,0.1481,0.0142,0.1304,0.0446,0.1143,0.0221,0.1495,0.0209,0.0889,0.0234
model piano roll tf 0,argmax,first_word,0.127,0.028,0.1236,0.0412,0.0633,0.0065,0.1084,0.0314,0.0769,0.0175
model piano roll tf 0,argmax,SOS,0.0984,0.037,0.087,0.0309,0.0375,0.0065,0.0909,0.0176,0.0806,0.0286
model piano roll tf 0,argmax,random,0.0769,0.0364,0.0538,0.0241,0.0247,0.0065,0.0909,0.0123,0.0781,0.0179
model piano roll tf 0,topk,first_word,0.1111,0.0126,0.1538,0.0392,0.1023,0.0103,0.1136,0.0267,0.1159,0.027
model piano roll tf 0,topk,SOS,0.1176,0.0329,0.1633,0.0318,0.0879,0.0259,0.1196,0.0202,0.1,0.0207
model piano roll tf 0,topk,random,0.1286,0.0316,0.1354,0.0457,0.069,0.0233,0.1505,0.0348,0.0845,0.0147
